israel, i
rake, c
ghost, 5
day, p
again, c
lazy, l
bite, l
earn, c
black, p
alcohol, c
young, flat_b
generation, flat_o
ball, 5
former, 5
inside, flat_o
tournament, v
class, c
change, l
poop, s
religion, h
grab, s
plant, flat_o
how, c
duck, r
rest, 5
laptop, 5
policeman, o
strict, f
vampire, v
gray, 5
past, 5
start, p
important, f
bra, l
clock, o
pig, c
outside, flat_o
bracelet, c
example, 5
scissors, v
high, h
type, c
manage, bent_v
mountain, s
canada, c
bear, o
carrot, c
better, o
death, 5
candle, c
nose, p
office, c
church, f
responsibility, 5
grapes, c
subtract, 5
for, p
stop, 5
now, y
freeway, 5
think, p
camping, c
lonely, p
print, o
swim, 5
full, 5
pass, s
warn, 5
vomit, 5
law, l
fail, v
jealous, i
make, s
mind, l
vegetable, v
tiger, c
wander, o
magazine, c
east, bent_v
improve, 5
break, s
fat, open_b
west, v
scared, 5
we, o
square, o
ready, v
lamp, 5
island, i
furniture, 5
wait, 5
thursday, c
farm, 5
rain, c
behavior, 5
smile, l
wife, c
innocent, v
come, 5
bless, o
copy, flat_o
children, 5
napkin, s
hate, 5
surprise, l
helicopter, c
share, 5
have, flat_b
china, o
gold, y
wood, 5
dog, o
shower, o
judge, f
lock, o
white, c
check, 1
different, l
today, y
fix, flat_o
back, o
picture, c
tobacco, 5
car, o
busy, 5
drug, o
screwdriver, 5
need, bent_v
morning, 5
here, 5
always, p
after, 5
relief, s
end, 5
action, c
suspend, o
predict, v
last, i
deer, 5
umbrella, s
respect, v
conflict, p
drive, s
gloves, s
parents, 5
much, c
free, f
basketball, v
smell, 5
prison, c
possible, 5
waste, 5
teacher, flat_o
off, 5
plate, l
spider, c
husband, c
ruin, s
yes, o
freeze, o
add, flat_o
goal, l
chat, 5
verb, v
gas, s
walk, 5
congratulations, c
rabbit, p
shirt, 5
comb, 5
angel, c
other, 5
reason, r
never, 5
africa, c
advantage, 5
lettuce, 5
ask, s
brown, 5
garage, p
bottle, c
wolf, c
butterfly, c
mouse, p
hat, 5
crazy, 5
game, o
paper, open_b
iron, o
cooperate, c
complex, s
long, p
socks, l
gay, p
history, h
counselor, flat_o
stairs, v
comfortable, c
boss, c
one, p
help, 5
hot, c
that, y
lousy, p
salt, v
animal, flat_b
bet, 5
jewish, flat_o
answer, c
line, i
agreement, o
forbid, l
skill, o
snake, o
document, 5
brother, l
independent, i
careful, v
computer, 5
beard, c
blow, 5
hamburger, c
silly, y
time, o
enter, f
dessert, c
jump, v
mirror, 5
zero, o
swallow, c
river, 5
blame, s
put, flat_o
dirty, 5
strong, c
metal, 5
dress, 5
relax, 5
happy, 5
owe, p
magic, s
house, 5
revenge, l
show, p
shampoo, 5
shoulder, flat_b
area, s
some, 5
impact, l
rat, v
member, 5
blanket, 5
appear, p
hospital, v
saturday, o
curious, 5
japan, o
point, p
mouth, l
lawyer, l
middle, 5
lecture, 5
wedding, c
no, p
can, s
smooth, c
interest, 5
join, c
building, p
half, v
king, v
sweetheart, o
measure, y
world, 5
argue, p
asia, o
cannot, o
perspective, v
sleep, c
demand, c
research, h
talk, 5
tease, bent_v
text, o
sweater, c
bedroom, 5
kangaroo, c
misunderstand, v
bug, v
cabinet, c
sing, 5
adult, 5
heaven, 5
grandmother, 5
drawer, s
tan, 5
jacket, o
hello, 5
down, o
bother, 5
dye, f
monkey, c
toothbrush, g
convince, o
language, l
more, flat_o
honor, v
count, f
request, 5
believe, c
save, s
necklace, o
airplane, c
who, l
earthquake, s
fruit, f
cracker, o
visualize, o
bacon, r
use, v
teeth, o
god, 5
friend, l
fire, 5
niece, r
bicycle, o
since, l
gift, bent_v
must, o
funny, v
neutral, r
specific, f
battery, bent_v
which, o
vacation, 5
birth, 5
wristwatch, f
famous, p
thermometer, p
lose, v
price, 5
understand, 5
safe, s
purple, p
find, o
lipstick, o
email, p
leak, 5
pie, 5
soccer, 5
remove, c
sorry, s
overlook, 5
flower, f
spoon, h
street, 5
meeting, flat_o
dentist, o
flute, f
boots, 5
priest, g
stubborn, o
drop, o
race, s
resist, 5
expensive, flat_o
challenge, o
know, 5
plenty, o
shrimp, o
owl, c
canoe, s
whatever, c
train, v
soft, flat_o
english, 5
weigh, v
surgery, c
pour, c
italy, o
cherry, c
deep, o
embarrass, 5
cheese, 5
behind, o
balloon, o
sweet, c
chance, c
license, l
puzzled, 5
wonder, l
grass, 5
move, flat_o
country, y
sting, o
red, o
refuse, 5
bed, 5
give, flat_o
rainbow, 5
father, 5
stamp, v
hair, f
way, 5
machine, c
nephew, r
elephant, 5
girl, c
skate, bent_v
positive, l
telephone, y
war, 5
spring, 5
hammer, 5
actor, o
hunt, v
clean, 5
motorcycle, o
unique, l
sandwich, flat_b
cat, f
play, y
goat, o
three, p
color, 5
turtle, c
shape, y
over, 5
near, 5
army, o
expect, c
ring, f
hour, p
sure, p
fool, o
disconnect, c
send, 5
laugh, l
eagle, o
trouble, 5
warm, c
stay, y
hungry, 5
four, 5
insurance, i
schedule, 5
tell, c
butter, p
touch, 5
equal, c
your, 5
helmet, 5
cough, o
address, o
result, h
where, v
south, o
in, c
tomato, p
face, o
punish, l
contact, 5
borrow, v
president, s
apple, c
mustache, g
whale, i
on, 5
friendly, 5
loud, s
government, p
experience, 5
smart, 5
expert, c
eyeglasses, o
pencil, o
interpreter, 5
arm, c
list, 5
traffic, 5
homework, s
gossip, l
love, s
express, o
big, l
from, o
chain, f
excited, 5
kid, c
bus, s
eyes, p
take, 5
sheep, v
heap, 5
sunset, 5
top, 5
guilty, p
marry, c
health, s
age, c
australia, c
finish, 5
keep, v
slow, 5
newspaper, o
cost, bent_v
attention, 5
blue, 5
sew, 5
peach, c
school, open_b
hide, c
water, 5
wall, 5
snob, c
yellow, y
work, o
earring, l
enough, s
analyze, v
why, 5
circle, p
dry, o
happen, p
land, c
secret, y
accident, o
rock, o
cry, o
relationship, c
pity, 5
secretary, v
shave, bent_v
when, p
enjoy, 5
serious, p
wine, f
culture, l
sell, flat_o
tissue, o
grow, flat_o
word, l
double, v
milk, s
floor, 5
window, 5
fish, 5
earth, c
ticket, bent_v
french, 5
amazing, c
stare, f
doubt, v
cereal, 5
uncle, v
monster, c
horse, p
proof, 5
soup, v
book, 5
winter, o
letter, o
weak, 5
good, 5
city, 5
month, p
waiter, 5
squirrel, h
fishing, l
cake, 5
camera, l
radio, 5
doctor, 5
awake, l
key, bent_v
swing, 5
egg, v
favorite, 5
chocolate, 5
pain, l
therapy, o
front, 5
cow, y
scientist, o
clown, c
peace, 5
restaurant, h
drum, o
europe, bent_v
skin, s
bridge, v
journey, bent_v
destroy, s
lucky, 5
sequence, 5
sour, p
football, 5
turn, l
celebrate, bent_v
man, 5
hope, c
community, 5
against, 5
stress, s
sister, l
suspect, 5
banana, f
library, l
dissolve, c
match, c
go, c
orange, s
benefit, 5
art, i
emotion, bent_v
glasses, g
pack, c
label, h
cookie, 5
science, o
really, y
kill, g
bathroom, o
grammar, g
friday, 5
haircut, v
few, o
dumb, o
forest, 5
barely, 5
monday, o
carry, 5
pink, v
situation, o
door, 5
want, c
promise, c
fly, 5
beg, c
nothing, c
piano, 5
parade, 5
out, flat_o
read, v
turkey, l
easy, c
scold, p
cup, 5
mad, open_b
see, v
bank, 5
plan, 5
head, c
tired, c
place, v
leave, 5
voice, v
weight, h
introduce, 5
stuck, r
hard, bent_v
lobster, c
study, 5
transfer, o
headache, o
meet, l
ski, o
breathe, 5
math, c
sign, p
flag, 5
not, c
staff, 5
america, 5
pretty, c
alone, p
worm, o
escape, p
danger, s
teach, c
money, c
cigarette, l
dance, v
sticky, o
thin, i
hawaii, h
ear, 5
buy, c
cold, s
program, v
diamond, c
shovel, o
whistle, r
audience, c
sweep, 5
eraser, s
worse, v
wet, flat_o
lion, c
watch, l
strange, 5
jewelry, 5
sit, v
struggle, o
heavy, 5
star, p
arrive, 5
travel, v
awkward, v
fake, p
lead, o
violin, c
late, 5
lemon, o
many, o
blind, v
obsess, p
less, 5
up, p
theater, o
afternoon, 5
paint, 5
microwave, o
road, 5
wednesday, f
pride, o
two, v
baseball, s
form, f
discuss, 5
strawberry, f
average, 5
power, s
continue, o
translate, p
chase, s
week, l
keyboard, c
sentence, f
tea, f
popcorn, l
straight, 5
next, 5
please, 5
explode, s
promote, 5
excuse, 5
weather, 5
graduate, l
birthday, 5
dolphin, h
divide, 5
best, o
sick, 5
internet, 5
small, 5
our, c
clear, c
sensitive, 5
nut, c
medicine, 5
honest, 5
team, l
evidence, c
disappear, o
brave, s
rich, c
maybe, 5
rule, h
concept, f
year, 5
salad, c
dream, p
future, 5
heart, 5
queen, p
boy, c
together, s
postpone, f
announce, p
devil, v
memorize, 5
fault, c
electrician, o
onion, 5
hurry, v
normal, v
appointment, s
snow, o
joke, bent_v
sunrise, f
pumpkin, c
chair, v
me, o
moon, l
choke, 5
grandfather, 5
yesterday, o
music, 5
certificate, c
potato, o
green, g
shelf, f
bring, 5
like, c
open, 5
delicious, c
meat, 5
basement, o
energy, o
myself, 5
die, 5
stir, o
act, o
bread, flat_b
desert, p
truth, 5
hurricane, c
learn, flat_o
negative, g
wish, c
doll, o
person, h
call, y
listen, v
body, 5
tornado, p
tennis, o
curtain, 5
cook, 5
rooster, v
bright, o
toilet, o
university, 5
push, 5
idea, i
sad, 5
bath, o
technology, s
muscle, o
hockey, bent_v
rob, h
will, 5
clothes, 5
name, v
home, flat_o
gone, c
college, 5
alarm, o
evaluate, bent_v
lesson, f
bird, o
gamble, o
popular, v
nurse, 5
north, r
hurt, p
tough, o
taste, 5
catholic, 5
center, 5
toast, v
minute, p
balance, c
cousin, 5
pants, 5
first, 1
date, c
precious, 5
bad, 5
drink, c
egypt, 5
room, 5
student, c
business, 5
poor, s
try, o
towel, o
ugly, bent_v
experiment, c
breakdown, c
throw, c
far, s
guitar, s
process, 5
tomorrow, c
lie, f
nice, 5
test, o
california, f
bone, bent_v
dormitory, c
wow, c
hop, c
and, c
invite, 5
family, f
ok, 5
avoid, o
rope, h
quiet, 5
worry, 5
finally, p
boat, 5
later, l
get, s
character, f
blood, 5
woman, 5
soap, o
night, 5
wind, 5
sun, c
summer, c
steal, s
bar, o
remember, o
draw, i
movie, 5
hearing, p
perfect, f
you, p
vote, c
deny, o
replace, o
inspire, c
fast, l
brush, 5
mock, c
feel, 5
run, l
scream, c
quit, v
smoking, v
thirsty, p
son, 5
award, y
old, s
divorce, c
accomplish, p
sofa, v
mother, 5
kitchen, v
win, s
angry, o
bowl, c
dinosaur, 5
shy, 5
museum, c
shoes, s
hanukkah, 5
everyday, 5
event, 5
there, p
cheap, 5
plus, p
pepper, f
my, 5
degree, f
drunk, o
forever, y
pull, baby_o
tree, open_b
volunteer, f
sound, p
pay, v
oral, r
thanksgiving, g
often, 5
chop, 5
coffee, o
all, 5
box, 5
knife, h
clueless, f
under, o
bored, p
impossible, y
rude, 5
fun, v
write, bent_v
with, o
soda, s
beer, 5
fight, o
ocean, open_b
shame, flat_b
bye, 5
