rake, Paddle
ghost, Paddle
day, p
again, Reach
bite, l
earn, Reach
black, Reach
young, Reach
ball, Paddle
former, Reach
inside, c
tournament, v
class, c
change, l
poop, Fist Thumb Out
religion, Reach
grab, Fist
plant, Paddle
how, c
rest, Paddle
laptop, Reach
policeman, Paddle
gray, Reach
past, Reach
start, p
important, f
clock, l
pig, c
outside, Reach
example, ASL-B
high, Reach
manage, bent_v
mountain, Fist
canada, c
bear, o
carrot, c
better, Reach
death, Reach
candle, c
nose, p
office, c
church, Paddle
responsibility, Reach
grapes, Paddle
subtract, Reach
for, Reach
stop, Paddle
now, y
freeway, Reach
lonely, Reach
swim, Reach
full, Reach
pass, Fist Thumb Out
warn, Paddle
vomit, Reach
law, Reach
make, Fist
mind, Paddle
tiger, c
wander, Reach
magazine, Paddle
east, Reach
improve, Reach
break, Fist
fat, y
scared, Reach
we, Paddle
square, o
lamp, Paddle
island, Paddle
furniture, Paddle
wait, Reach
thursday, c
farm, Reach
behavior, Paddle
wife, c
innocent, v
come, Paddle
bless, o
copy, Reach
children, Reach
napkin, Reach
hate, Reach
surprise, l
helicopter, Reach
share, Reach
have, flat_b
china, o
gold, Reach
wood, Paddle
shower, o
judge, f
lock, o
check, 1
different, l
today, y
fix, flat_o
back, o
picture, Reach
tobacco, Reach
car, o
busy, Paddle
drug, o
screwdriver, Reach
need, Paddle
morning, Paddle
here, Paddle
always, p
after, Paddle
relief, Fist Thumb Out
end, Reach
action, c
suspend, o
deer, Reach
umbrella, Fist
conflict, p
drive, Fist
gloves, Reach
parents, Reach
much, c
free, f
basketball, v
smell, Paddle
possible, Reach
waste, Reach
teacher, flat_o
off, Reach
plate, l
spider, c
husband, c
ruin, bent_v
yes, o
freeze, o
add, flat_o
goal, l
chat, Reach
verb, Reach
gas, Fist
walk, Reach
congratulations, o
rabbit, p
shirt, Paddle
comb, Reach
angel, c
other, Reach
reason, r
never, Reach
ask, Fist
brown, Paddle
bottle, Paddle
butterfly, c
mouse, p
hat, Reach
crazy, Reach
game, Thumbs Up
paper, open_b_tight
iron, o
cooperate, c
complex, Fist
long, p
gay, Reach
history, Reach
counselor, Paddle
comfortable, c
boss, Paddle
one, Reach
help, Paddle
that, Reach
salt, v
animal, flat_b
bet, Paddle
jewish, Paddle
answer, c
agreement, o
forbid, Reach
skill, Reach
snake, Reach
document, Reach
brother, l
computer, Reach
beard, Paddle
blow, Reach
hamburger, c
time, o
enter, Paddle
jump, Reach
mirror, Reach
zero, Reach
swallow, Reach
blame, Fist Thumb Out
put, flat_o
dirty, Reach
strong, c
metal, Reach
dress, Reach
relax, Reach
happy, Reach
owe, Reach
magic, Paddle
house, Reach
revenge, l
show, Reach
shampoo, Paddle
shoulder, Reach
area, Reach
some, Reach
impact, l
member, Reach
blanket, Paddle
appear, p
hospital, Reach
saturday, o
curious, Reach
japan, o
point, v
mouth, l
lawyer, Reach
middle, Reach
lecture, Reach
wedding, c
can, Fist
interest, Paddle
join, c
half, Reach
king, Reach
sweetheart, Fist Thumb Out
world, Paddle
argue, p
asia, Reach
cannot, o
perspective, v
sleep, c
demand, c
research, Paddle
tease, bent_v
text, o
sweater, c
bedroom, Reach
kangaroo, c
misunderstand, v
bug, Reach
cabinet, c
sing, Reach
adult, Reach
heaven, Reach
grandmother, Paddle
drawer, Fist Thumb Out
tan, Reach
jacket, o
hello, Reach
down, Reach
bother, Paddle
dye, f
monkey, c
convince, o
more, flat_o
honor, v
count, Reach
request, Reach
believe, c
save, Fist
necklace, o
earthquake, Fist Thumb Out
fruit, Paddle
cracker, Fist Thumb Out
visualize, o
bacon, v
use, v
teeth, Reach
god, Paddle
fire, Reach
niece, Paddle
bicycle, o
since, l
gift, bent_v
must, Reach
funny, Reach
battery, bent_v
which, o
vacation, Reach
birth, Reach
wristwatch, Paddle
famous, l
thermometer, v
price, Reach
understand, Reach
safe, Fist
purple, Reach
find, o
lipstick, Reach
email, p
pie, Paddle
soccer, Paddle
remove, c
sorry, Thumbs Up
overlook, Reach
spoon, Reach
street, Reach
meeting, flat_o
dentist, o
boots, Paddle
stubborn, o
drop, Fist Thumb Out
race, Fist Thumb Out
resist, Paddle
expensive, Reach
challenge, Thumbs Up
know, Reach
plenty, o
shrimp, o
owl, c
canoe, Fist Thumb Out
whatever, Reach
train, v
soft, flat_o
english, Paddle
weigh, v
surgery, Reach
cherry, c
deep, Paddle
embarrass, Reach
cheese, Reach
behind, o
balloon, Reach
sweet, Reach
chance, c
puzzled, ASL-B
wonder, l
grass, Reach
move, flat_o
sting, o
red, Reach
refuse, Reach
bed, Reach
give, Reach
father, Reach
stamp, v
hair, Paddle
way, Reach
machine, c
elephant, Reach
girl, c
skate, bent_v
positive, l
war, Reach
spring, Paddle
hammer, Reach
actor, o
clean, Reach
motorcycle, o
unique, l
sandwich, flat_b
cat, Paddle
goat, Paddle
three, Reach
color, Paddle
turtle, c
shape, o
over, Paddle
near, Reach
army, Thumbs Up
expect, c
ring, f
hour, Reach
sure, p
fool, Thumbs Up
disconnect, Paddle
send, Paddle
eagle, Reach
trouble, Paddle
warm, c
stay, y
hungry, Reach
four, Paddle
insurance, Reach
schedule, Paddle
tell, c
butter, Reach
touch, Paddle
equal, c
your, Reach
helmet, Paddle
cough, o
address, Thumbs Up
result, Paddle
where, v
south, o
in, c
tomato, p
face, o
punish, l
contact, Reach
borrow, v
president, Fist
apple, c
on, Paddle
friendly, Reach
loud, Fist
government, Reach
experience, Reach
smart, Reach
expert, c
eyeglasses, o
pencil, Reach
interpreter, Paddle
arm, c
list, Paddle
traffic, Reach
homework, Fist
gossip, l
love, Fist
express, o
from, o
chain, f
excited, Reach
kid, Reach
bus, Reach
eyes, Reach
take, Reach
heap, Reach
sunset, Paddle
top, Paddle
guilty, Reach
health, Fist
age, c
australia, Paddle
finish, Reach
keep, v
slow, Reach
newspaper, Reach
cost, Reach
attention, Paddle
blue, Reach
sew, Paddle
school, open_b_tight
hide, o
water, Reach
wall, Paddle
yellow, Paddle
work, o
earring, l
enough, Fist
why, Paddle
circle, p
dry, o
happen, p
secret, y
rock, o
cry, o
relationship, c
pity, Reach
shave, Paddle
when, p
enjoy, Paddle
serious, Reach
culture, l
sell, flat_o
tissue, Reach
grow, Paddle
double, Reach
milk, Paddle
floor, Paddle
window, Paddle
fish, Paddle
earth, Reach
ticket, Reach
french, Paddle
amazing, Paddle
cereal, Paddle
uncle, Reach
monster, c
horse, Paddle
proof, Reach
book, Reach
winter, o
letter, Reach
weak, Reach
good, Paddle
city, Paddle
month, p
waiter, Reach
squirrel, v
fishing, l
cake, Paddle
camera, l
radio, Reach
doctor, Reach
key, Reach
swing, Reach
egg, v
favorite, Reach
chocolate, Paddle
therapy, Paddle
front, Reach
cow, Paddle
scientist, o
clown, Paddle
peace, Paddle
drum, l
bridge, o
destroy, Fist Thumb Out
lucky, Reach
sequence, Reach
sour, p
football, Paddle
turn, l
celebrate, o
man, Reach
hope, c
community, Paddle
against, Paddle
stress, Fist
sister, l
suspect, ASL-B
banana, c
library, Reach
dissolve, c
match, c
go, c
orange, Paddle
benefit, Paddle
art, Paddle
pack, c
label, Paddle
cookie, Paddle
science, o
really, Reach
friday, Paddle
haircut, v
few, Reach
dumb, Thumbs Up
forest, Reach
barely, Paddle
carry, Reach
pink, Paddle
situation, o
door, Paddle
want, c
promise, o
fly, Paddle
nothing, c
piano, Paddle
parade, Reach
out, Paddle
read, Reach
easy, c
scold, Paddle
cup, Reach
mad, open_b_tight
bank, Paddle
plan, Paddle
head, Reach
tired, c
leave, Reach
weight, v
introduce, Reach
hard, bent_v
lobster, c
transfer, Paddle
headache, o
meet, l
ski, o
breathe, Reach
math, Paddle
sign, p
flag, Reach
not, c
staff, Reach
america, Reach
pretty, c
alone, Reach
worm, Reach
escape, p
danger, Thumbs Up
teach, c
cigarette, l
dance, Paddle
hawaii, Reach
ear, Paddle
cold, Fist Thumb Out
diamond, Paddle
shovel, o
audience, c
sweep, Paddle
eraser, Fist Thumb Out
wet, flat_o
lion, Reach
strange, Reach
jewelry, Paddle
sit, v
struggle, o
heavy, Reach
star, p
arrive, Paddle
fake, Reach
lead, o
violin, c
late, Reach
lemon, Reach
many, c
blind, Reach
obsess, Paddle
less, Reach
up, p
theater, Thumbs Up
afternoon, Paddle
paint, Paddle
microwave, o
road, Paddle
pride, o
two, Reach
baseball, Fist
form, Paddle
